profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake,#followers_capped,#follows_capped,#posts_capped,foll_to_following_ratio,short_bio,no_profile_pic,high_following
1,0.27,0,0.0,0,53,0,0,32,1000,955,0,1000,955,32,1.0460251046025104,0,0,0
1,0.0,2,0.0,0,44,0,0,286,2740,533,0,2740,533,286,5.131086142322097,0,0,0
1,0.1,2,0.0,0,0,0,1,13,159,98,0,159,98,13,1.606060606060606,1,0,0
1,0.0,1,0.0,0,82,0,0,679,414,651,0,414,651,679,0.6349693251533742,0,0,0
1,0.0,2,0.0,0,0,0,1,6,151,126,0,151,126,6,1.188976377952756,1,0,0
1,0.0,4,0.0,0,81,1,0,344,669987,150,0,669987,150,344,4437.0,0,0,0
1,0.0,2,0.0,0,50,0,0,16,122,177,0,122,177,16,0.6853932584269663,0,0,0
1,0.0,2,0.0,0,0,0,0,33,1078,76,0,1078,76,33,14.0,1,0,0
1,0.0,0,0.0,0,71,0,0,72,1824,2713,0,1824,2713,72,0.6720707442888725,0,0,1
1,0.0,2,0.0,0,40,1,0,213,12945,813,0,12945,813,213,15.902948402948402,0,0,0
1,0.0,2,0.0,0,54,0,0,648,9884,1173,0,9884,1173,648,8.419080068143101,0,0,1
1,0.0,2,0.0,0,54,1,0,76,1188,365,0,1188,365,76,3.2459016393442623,0,0,0
1,0.0,2,0.0,0,0,1,0,298,945,583,0,945,583,298,1.6181506849315068,1,0,0
1,0.0,2,0.0,0,103,1,0,117,12033,248,0,12033,248,117,48.325301204819276,0,0,0
1,0.0,2,0.0,0,98,1,0,487,1962,2701,0,1962,2701,487,0.7261287934863064,0,0,1
1,0.0,3,0.0,0,46,0,0,254,50374,900,0,50374,900,254,55.90899001109878,0,0,0
1,0.0,3,0.0,0,0,0,0,59,7007,289,0,7007,289,59,24.162068965517243,1,0,0
1,0.29,3,0.0,0,48,0,0,1570,1128,694,0,1128,694,1570,1.623021582733813,0,0,0
1,0.0,2,0.0,0,63,1,0,378,34670,1878,0,34670,1878,378,18.451303885045238,0,0,1
1,0.0,2,0.0,0,106,1,0,526,2338,776,0,2338,776,526,3.009009009009009,0,0,0
1,0.0,2,0.0,0,40,0,0,228,3516,999,0,3516,999,228,3.516,0,0,0
1,0.0,1,0.0,0,35,1,1,35,1809,416,0,1809,416,35,4.338129496402877,0,0,0
1,0.0,2,0.0,0,30,0,0,281,427,470,0,427,470,281,0.9065817409766455,0,0,0
1,0.0,1,0.0,0,27,0,0,285,759,956,0,759,956,285,0.7931034482758621,0,0,0
1,0.0,0,0.0,0,0,0,0,148,15338538,61,0,1000000,61,148,16129.032258064517,1,0,0
1,0.0,1,0.0,0,109,1,1,57,109,179,0,109,179,57,0.6055555555555555,0,0,0
1,0.0,6,0.0,0,0,0,1,17,536,665,0,536,665,17,0.8048048048048048,1,0,0
1,0.0,2,0.0,0,132,1,0,511,121354,176,0,121354,176,511,685.6158192090395,0,0,0
1,0.0,2,0.0,0,126,1,0,230,2284,130,0,2284,130,230,17.435114503816795,0,0,0
1,0.0,2,0.0,0,122,0,1,15,186,174,0,186,174,15,1.062857142857143,0,0,0
1,0.0,2,0.0,0,138,0,1,980,687,1517,0,687,1517,980,0.4525691699604743,0,0,1
1,0.13,0,0.0,0,0,0,1,53,966,952,0,966,952,53,1.0136411332633788,1,0,0
1,0.0,2,0.0,0,50,0,1,111,177,170,0,177,170,111,1.0350877192982457,0,0,0
1,0.0,2,0.0,0,35,0,0,719,744,967,0,744,967,719,0.768595041322314,0,0,0
1,0.0,2,0.0,0,56,1,0,1164,542073,674,0,542073,674,1164,803.0711111111111,0,0,0
1,0.18,2,0.0,0,9,0,0,497,5315651,2703,0,1000000,2703,497,369.8224852071006,1,0,1
1,0.33,0,0.0,0,0,0,1,18,267,328,0,267,328,18,0.8115501519756839,1,0,0
1,0.0,2,0.0,0,81,0,0,50,691,680,0,691,680,50,1.014684287812041,0,0,0
1,0.0,2,0.0,0,134,0,1,74,120,112,0,120,112,74,1.0619469026548674,0,0,0
1,0.0,2,0.0,0,0,0,0,8,105,98,0,105,98,8,1.0606060606060606,1,0,0
1,0.0,0,0.0,0,2,0,0,7389,890969,11,0,890969,11,7389,74247.41666666667,1,0,0
1,0.0,2,0.0,0,0,1,0,420,361853,583,0,361853,583,420,619.611301369863,1,0,0
1,0.0,2,0.0,0,23,0,0,433,3678,1359,0,3678,1359,433,2.7044117647058825,0,0,1
1,0.0,2,0.0,0,138,1,0,156,92192,16,0,92192,16,156,5423.058823529412,0,0,0
1,0.0,4,0.0,0,35,0,0,4494,12397719,8,0,1000000,8,4494,111111.11111111111,0,0,0
